known_index,known_name,application_domain,known_formula,known_bands,candidate_family,candidate_expression,candidate_signed_key,reference
RI,Redness Index,vegetation,(R - G)/(R + G),R|G,normalized-difference,(B04 - B03) / (B04 + B03),normalized-difference:B04-B03,https://www.documentation.ird.fr/hor/fdi:34390
RNDVI,Reversed Normalized Difference Vegetation Index,water,(R - N)/(R + N),R|N,normalized-difference,(B04 - B08) / (B04 + B08),normalized-difference:B04-B08,https://doi.org/10.3390/rs12162648
RVI,Ratio Vegetation Index,vegetation,RE2 / R,RE2|R,ratio,B06 / B04,ratio:B06/B04,https://doi.org/10.2134/agronj1968.00021962006000060016x
S2WI,Sentinel-2 Water Index,water,(RE1 - S2)/(RE1 + S2),RE1|S2,normalized-difference,(B05 - B12) / (B05 + B12),normalized-difference:B05-B12,https://doi.org/10.3390/w13121647
SR,Simple Ratio,vegetation,N/R,N|R,ratio,B08 / B04,ratio:B08/B04,https://doi.org/10.2307/1936256
SR2,Simple Ratio (800 and 550 nm),vegetation,N/G,N|G,ratio,B08 / B03,ratio:B08/B03,https://doi.org/10.1080/01431169308904370
SR555,Simple Ratio (555 and 750 nm),vegetation,RE2 / G,RE2|G,ratio,B06 / B03,ratio:B06/B03,https://doi.org/10.1016/S0176-1617(11)81633-0
SR705,Simple Ratio (705 and 750 nm),vegetation,RE2 / RE1,RE2|RE1,ratio,B06 / B05,ratio:B06/B05,https://doi.org/10.1016/S0176-1617(11)81633-0
SRWI,Symbolic Regression Water Index,water,((G + B) - (N + S1)) / ((G + B) + (N + S1)),G|B|N|S1,four-band-balance,(B02 + B03 - B08 - B11) / (B02 + B03 + B08 + B11),four-band-balance:B02+B03-B08+B11,https://doi.org/10.1038/s41598-025-34720-x
STI,Simple Tillage Index,vegetation,S1 / S2,S1|S2,ratio,B11 / B12,ratio:B11/B12,https://www.asprs.org/wp-content/uploads/pers/1997journal/jan/1997_jan_87-93.pdf
SeLI,Sentinel-2 LAI Green Index,vegetation,(N2 - RE1) / (N2 + RE1),N2|RE1,normalized-difference,(B8A - B05) / (B8A + B05),normalized-difference:B8A-B05,https://doi.org/10.3390/s19040904
UI,Urban Index,urban,(S2 - N)/(S2 + N),S2|N,normalized-difference,(B12 - B08) / (B12 + B08),normalized-difference:B12-B08,https://www.isprs.org/proceedings/XXXI/congress/part7/321_XXXI-part7.pdf
VI700,Vegetation Index (700 nm),vegetation,(RE1 - R) / (RE1 + R),RE1|R,normalized-difference,(B05 - B04) / (B05 + B04),normalized-difference:B05-B04,https://doi.org/10.1016/S0034-4257(01)00289-9
VIG,Vegetation Index Green,vegetation,(G - R) / (G + R),G|R,normalized-difference,(B03 - B04) / (B03 + B04),normalized-difference:B03-B04,https://doi.org/10.1016/S0034-4257(01)00289-9
VgNIRBI,Visible Green-Based Built-Up Index,urban,(G - N)/(G + N),G|N,normalized-difference,(B03 - B08) / (B03 + B08),normalized-difference:B03-B08,https://doi.org/10.1016/j.ecolind.2015.03.037
VrNIRBI,Visible Red-Based Built-Up Index,urban,(R - N)/(R + N),R|N,normalized-difference,(B04 - B08) / (B04 + B08),normalized-difference:B04-B08,https://doi.org/10.1016/j.ecolind.2015.03.037
WI1,Water Index 1,water,(G - S2) / (G + S2),G|S2,normalized-difference,(B03 - B12) / (B03 + B12),normalized-difference:B03-B12,https://doi.org/10.3390/rs11182186
WI2,Water Index 2,water,(B - S2) / (B + S2),B|S2,normalized-difference,(B02 - B12) / (B02 + B12),normalized-difference:B02-B12,https://doi.org/10.3390/rs11182186
mSR705,Modified Simple Ratio (705 and 445 nm),vegetation,(RE2 - A)/(RE2 + A),RE2|A,normalized-difference,(B06 - B01) / (B06 + B01),normalized-difference:B06-B01,https://doi.org/10.1016/S0034-4257(02)00010-X
