record_id,record_name,domain,capability_family,method_role,maturity,formula_status,implemented_formula,required_inputs,band_references,band_reference_count,index_aliases,gate_or_clip_terms,six_family_exact_match,permutation_applicability,reason
DWCI,Drinking Water Catchment Injury Index,Water Quality & Freshwater,Water Condition & Plumes,research-model,M2,Executable but non-live,,Sentinel-2 context; proof target pending,,0,,,,not-applicable-no-implemented-formula,No implemented formula is recorded.
RRFI,Riparian Dry-Bare Context Composite,Water Quality & Freshwater,Riparian & Floodplain Condition,variant,M3,Live screening proxy,"max(0, 0.3−NDVI) × max(0, −NDWI) × max(0, BSI) × 40",Sentinel-2,,0,BSI|NDVI|NDWI,max,,component-comparison,"A single-scene Sentinel-2 composite can be compared at the component or ablation level, but is not itself a plain 2-4 band permutation."
EPDI,Bare-Surface and Water-Turbidity Context,Water Quality & Freshwater,Water Condition & Plumes,primary,M3,Live screening proxy,0.5 × BareSurfaceHeuristic + 3 × TurbidityContrast × WaterGate,Sentinel-2,,0,,WaterGate,,component-comparison,"A single-scene Sentinel-2 composite can be compared at the component or ablation level, but is not itself a plain 2-4 band permutation."
RDOCI,CDOM Spectral-Slope Research Specification,Water Quality & Freshwater,Water Condition & Plumes,research-model,M1,Retrieval workflow required,,PACE OCI water-leaving reflectance | atmospheric correction | in-water absorption | field DOC/CDOM,,0,,,,not-applicable-no-implemented-formula,No implemented formula is recorded.
CTPSTI,Phytoplankton Pigment Contrast Feature,Water Quality & Freshwater,Aquatic Blooms & Pigments,component,M1,Formula specified; not implemented in Atlas,,PACE / DESIS,,0,,,,not-applicable-no-implemented-formula,No implemented formula is recorded.
DTPSI,Dam Thermal Plume Stratification Index,Water Quality & Freshwater,Water Condition & Plumes,research-model,M1,Formula specified; not implemented in Atlas,,Landsat TIRS,,0,,,,not-applicable-no-implemented-formula,No implemented formula is recorded.
GMCPI,Glacial Meltwater Chemistry Proxy Index,Water Quality & Freshwater,Water Condition & Plumes,research-model,M2,Executable but non-live,,Sentinel-2 + PACE,,0,,,,not-applicable-no-implemented-formula,No implemented formula is recorded.
FCLI,Floodplain SWIR-Vegetation Context,Water Quality & Freshwater,Riparian & Floodplain Condition,primary,M3,Live screening proxy,"max(0, B12−0.18) × max(0, 0.4−NDVI) × 8",Sentinel-2,B12,1,NDVI,max,,component-comparison,"A single-scene Sentinel-2 composite can be compared at the component or ablation level, but is not itself a plain 2-4 band permutation."
HABSDI,HAB Species-Level Discrimination Index,Marine & Coastal,Aquatic Blooms & Pigments,research-model,M1,Formula specified; not implemented in Atlas,,PACE / DESIS,,0,,,,not-applicable-no-implemented-formula,No implemented formula is recorded.
SMPDI,Floating-Material Spectral Contrast,Marine & Coastal,Floating & Surface Material,primary,M3,Live screening proxy,WaterGate × LandReject × [FAI_B12baseline − ((B8A−B11)/(B8A+B11))],Sentinel-2 L2A,B8A|B11,2,,LandReject|WaterGate,,component-comparison,"A single-scene Sentinel-2 composite can be compared at the component or ablation level, but is not itself a plain 2-4 band permutation."
CBSDI,Coral Brightness Context Proxy,Marine & Coastal,Coastal Habitat Condition,primary,M3,Live screening proxy,I[(B03−B04)/(B03+B04) < 0.05 and B02 > 0.06] × (0.5 + 3B02),Sentinel-2 + PRISMA,B02|B03|B04,3,,I,,component-comparison,"A single-scene Sentinel-2 composite can be compared at the component or ablation level, but is not itself a plain 2-4 band permutation."
KCDSI,Floating or Shallow-Water Vegetation Context,Marine & Coastal,Floating & Surface Material,variant,M3,Live screening proxy,"max(0, NDVI) × I[B11<0.04 and B03<0.16]",Sentinel-2 + S3,B03|B11,2,NDVI,I|max,,component-comparison,"A single-scene Sentinel-2 composite can be compared at the component or ablation level, but is not itself a plain 2-4 band permutation."
OWSI,Oil-Related Surface Contrast Proxy,Marine & Coastal,Floating & Surface Material,variant,M3,Live screening proxy,"max(0, (B02−B12)/(B02+B12)) × max(0, B11/B12 − 0.8) × 2",Sentinel-2 L2A,B02|B11|B12,3,,max,,component-comparison,"A single-scene Sentinel-2 composite can be compared at the component or ablation level, but is not itself a plain 2-4 band permutation."
MDSPI,Mangrove Dieback Spatial Pattern Index,Marine & Coastal,Coastal Habitat Condition,research-model,M2,Executable but non-live,,Sentinel-2 + S1; proof target pending,,0,,,,not-applicable-no-implemented-formula,No implemented formula is recorded.
SGDCI,Submarine Groundwater Discharge Chemistry Index,Marine & Coastal,Water Condition & Plumes,research-model,M1,Formula specified; not implemented in Atlas,,PACE + ECOSTRESS,,0,,,,not-applicable-no-implemented-formula,No implemented formula is recorded.
SPEI,Seagrass Photosynthetic Efficiency Index,Marine & Coastal,Coastal Habitat Condition,research-model,M2,Executable but non-live,,Sentinel-2 + DESIS,,0,,,,not-applicable-no-implemented-formula,No implemented formula is recorded.
CD-UAI,Coastal Water Turbidity Context,Marine & Coastal,Water Condition & Plumes,variant,M3,Live screening proxy,"max(0, RedGreenContrast + 0.05) × WaterGate × 6",Sentinel-2,,0,,WaterGate|max,,component-comparison,"A single-scene Sentinel-2 composite can be compared at the component or ablation level, but is not itself a plain 2-4 band permutation."
MP-PDI,Floating-Debris Candidate Feature,Marine & Coastal,Floating & Surface Material,variant,M3,Live screening proxy,"max(0, FAI) × NonVegetationGate × LowTurbidityGate × 10",Sentinel-2,,0,FAI,LowTurbidityGate|NonVegetationGate|max,,component-comparison,"A single-scene Sentinel-2 composite can be compared at the component or ablation level, but is not itself a plain 2-4 band permutation."
NPDefI,Red-Edge and SWIR Crop Contrast Proxy,Agriculture & Food,Crop & Soil Stress,primary,M3,Live screening proxy,"I[NDVI>0.2] × clip({[(B04−B05)/(B04+B05)] − [(B12−B11)/(B12+B11)]} + 0.5, 0, 1)",Sentinel-2 L2A,B04|B05|B11|B12,4,NDVI,I|clip,,component-comparison,"A single-scene Sentinel-2 composite can be compared at the component or ablation level, but is not itself a plain 2-4 band permutation."
SCSPI,Soil Compaction Spectral Proxy Index,Agriculture & Food,Crop & Soil Stress,research-model,M2,Executable but non-live,,Sentinel-2 context; proof target pending,,0,,,,not-applicable-no-implemented-formula,No implemented formula is recorded.
APRI,Aflatoxin Pre-Harvest Risk Index,Agriculture & Food,Crop & Soil Stress,research-model,M1,Formula specified; not implemented in Atlas,,ECOSTRESS + S2 + ERA5,,0,,,,not-applicable-no-implemented-formula,No implemented formula is recorded.
PDSDI,Crop Red-Edge and Dryness Context,Agriculture & Food,Crop & Soil Stress,variant,M3,Live screening proxy,"max(0, 0.6−NDRE) × max(0, B11/B08−0.5) × 4",Sentinel-2,B08|B11,2,NDRE,max,,component-comparison,"A single-scene Sentinel-2 composite can be compared at the component or ablation level, but is not itself a plain 2-4 band permutation."
CCTTI,Cover Crop Termination Timing Index,Agriculture & Food,Agricultural Management,primary,M3,Live screening proxy,NDVI_cover_green × (1−soil_tillage_signal),Sentinel-2 time series,,0,,,,manual-review,The expression requires manual expansion or interpretation.
IWUEI,Irrigation Water Use Efficiency Index,Agriculture & Food,Agricultural Management,research-model,M1,Formula specified; not implemented in Atlas,,ECOSTRESS + S1,,0,,,,not-applicable-no-implemented-formula,No implemented formula is recorded.
WDA-CSI,Wetland-Agriculture Edge Context,Agriculture & Food,Riparian & Floodplain Condition,variant,M3,Live screening proxy,"max(0, NDCI) × max(0, −NDWI) × OrganicSurfaceHeuristic × 10",Sentinel-2,,0,NDWI|NDCI,max,,component-comparison,"A single-scene Sentinel-2 composite can be compared at the component or ablation level, but is not itself a plain 2-4 band permutation."
TRSI,Tailings River Shock Index,Mining & Industrial,Water Condition & Plumes,research-model,M2,Executable but non-live,,Sentinel-2 context; proof target pending,,0,,,,not-applicable-no-implemented-formula,No implemented formula is recorded.
TDR-ASI,Mining Iron-SWIR Context Proxy,Mining & Industrial,Mining Surfaces & Risk,primary,M3,Live screening proxy,"max(0, RedBlueContrast−0.05) × max(0, B11/B12−1) × 3",Sentinel-2,B11|B12,2,,max,,component-comparison,"A single-scene Sentinel-2 composite can be compared at the component or ablation level, but is not itself a plain 2-4 band permutation."
AMDPHI,AMD Iron-Mineral Calibration Specification,Mining & Industrial,Mining Surfaces & Risk,retired,M1,Rebuild required,Legacy visible ratio-of-ratios retired from live display because its denominator is unstable near zero,surface reflectance | field pH | XRD/mineralogy | spectral library | held-out sites,,0,,,,not-applicable-other-sensor,The implemented or proposed workflow is not Sentinel-2 based.
TDSII,Tailings Change-Risk Calibration Model,Mining & Industrial,Mining Surfaces & Risk,research-model,M1,Calibrated model required,,S2 + S1 InSAR,,0,,,,not-applicable-no-implemented-formula,No implemented formula is recorded.
REESAI,Rare Earth Element Surface Anomaly Index,Mining & Industrial,Mining Surfaces & Risk,research-model,M1,Formula specified; not implemented in Atlas,,EnMAP + EMIT,,0,,,,not-applicable-no-implemented-formula,No implemented formula is recorded.
CCRBI,Coal Combustion Residue Bioaccumulation Index,Mining & Industrial,Mining Surfaces & Risk,research-model,M2,Executable but non-live,,Sentinel-2 context; proof target pending,,0,,,,not-applicable-no-implemented-formula,No implemented formula is recorded.
HLPII,Heap Leach Pad Integrity Index,Mining & Industrial,Mining Surfaces & Risk,research-model,M1,Formula specified; not implemented in Atlas,,S2 + EMIT,,0,,,,not-applicable-no-implemented-formula,No implemented formula is recorded.
IERPI,Industrial Effluent River Plume Index,Mining & Industrial,Water Condition & Plumes,research-model,M2,Executable but non-live,,Landsat-family/Sentinel-2 context,,0,,,,not-applicable-no-implemented-formula,No implemented formula is recorded.
EC-ACI,Urban Canopy-Loss & Dry-Surface Context Index,Urban & Infrastructure,Urban Surface Condition,primary,M3,Live screening proxy,"max(0, 0.4 − NDVI) × max(0, MSI − 0.8) × 3",Sentinel-2 L2A,,0,NDVI|MSI,max,,component-comparison,"A single-scene Sentinel-2 composite can be compared at the component or ablation level, but is not itself a plain 2-4 band permutation."
HSAI,Low-Vegetation Bare-Surface Context,Urban & Infrastructure,Urban Surface Condition,component,M3,Live screening proxy,"max(0, 0.3−NDVI) × max(0, BSI+0.05) × 6",Sentinel-2,,0,BSI|NDVI,max,,component-comparison,"A single-scene Sentinel-2 composite can be compared at the component or ablation level, but is not itself a plain 2-4 band permutation."
SPSRI,Solar Panel Soiling Remote Index,Urban & Infrastructure,Urban Surface Condition,research-model,M2,Executable but non-live,,Sentinel-2 + Planet,,0,,,,not-applicable-no-implemented-formula,No implemented formula is recorded.
UCIEI,Urban Cool Infrastructure Effectiveness Index,Urban & Infrastructure,Urban Surface Condition,research-model,M1,Formula specified; not implemented in Atlas,,S2 + ECOSTRESS,,0,,,,not-applicable-no-implemented-formula,No implemented formula is recorded.
PCADI,Dark Paved-Surface Context,Urban & Infrastructure,Urban Surface Condition,component,M3,Live screening proxy,"I[B02,B03,B04<0.15 and NDVI<0.05] × (1−8×mean(B02,B03,B04))",Sentinel-2,B02|B03|B04,3,NDVI,I|mean,,component-comparison,"A single-scene Sentinel-2 composite can be compared at the component or ablation level, but is not itself a plain 2-4 band permutation."
CSDEI,Construction Site Silica Dust Emission Index,Urban & Infrastructure,Urban Surface Condition,research-model,M1,Formula specified; not implemented in Atlas,,TROPOMI + GIS,,0,,,,not-applicable-no-implemented-formula,No implemented formula is recorded.
LFGVI,Landfill Vegetation-Stress Context,Urban & Infrastructure,Landfill Surface Context,component,M3,Live screening proxy,"max(0,0.5−NDVI) × max(0,0.2−RedEdgeContrast) × max(0,0.3−NDMI) × 20",Sentinel-2,,0,NDVI|NDMI,max,,component-comparison,"A single-scene Sentinel-2 composite can be compared at the component or ablation level, but is not itself a plain 2-4 band permutation."
LRD-VSI,Vegetation-Moisture Anomaly Context,Urban & Infrastructure,Landfill Surface Context,component,M3,Live screening proxy,"max(0,0.4−NDVI) × max(0,NDWI+0.2) × 5",Sentinel-2,,0,NDVI|NDWI,max,,component-comparison,"A single-scene Sentinel-2 composite can be compared at the component or ablation level, but is not itself a plain 2-4 band permutation."
TT-API,Wet Exposed-Peat Context,Permafrost & Arctic,Permafrost & Peat Change,component,M3,Live screening proxy,"PeatReflectanceHeuristic × max(0,0.3−NDVI) × max(0,NDWI+0.3) × 8",Sentinel-2,,0,NDVI|NDWI,max,,component-comparison,"A single-scene Sentinel-2 composite can be compared at the component or ablation level, but is not itself a plain 2-4 band permutation."
TPERI,Thermokarst Pond-Edge Context,Permafrost & Arctic,Permafrost & Peat Change,component,M3,Live screening proxy,"I[B12>0.08 and −0.2<NDWI<0.4] × max(0,NDWI+0.2) × 3",Sentinel-2 bi-temporal,B12,1,NDWI,I|max,,component-comparison,"A single-scene Sentinel-2 composite can be compared at the component or ablation level, but is not itself a plain 2-4 band permutation."
PCEI,Peat Carbon Exposure Index,Permafrost & Arctic,Permafrost & Peat Change,primary,M3,Live screening proxy,(1−NDVI) × high_SWIR2 × (1−NDWI),Sentinel-2,,0,NDVI|NDWI,,,component-comparison,"A single-scene Sentinel-2 composite can be compared at the component or ablation level, but is not itself a plain 2-4 band permutation."
SABSI,Bright-Snow Red-Green Context,Permafrost & Arctic,Snow Pigment Context,primary,M3,Live screening proxy,"I[B02>0.4 and B03>0.4] × max[0, (B04−B03)/(B04+B03)+0.05] × 10",Sentinel-2 L2A,B02|B03|B04,3,,I|max,,component-comparison,"A single-scene Sentinel-2 composite can be compared at the component or ablation level, but is not itself a plain 2-4 band permutation."
FGDCI,Frozen Ground Dielectric Change Index,Permafrost & Arctic,Permafrost & Peat Change,research-model,M2,Executable but non-live,,Sentinel-1 SAR proof target pending,,0,,,,not-applicable-no-implemented-formula,No implemented formula is recorded.
MEPSI,Open Shallow-Water Pond Context,Permafrost & Arctic,Wetland Gas Surface Context,component,M3,Live screening proxy,"I[NDWI>0.1 and NDVI<0.15 and NDCI<0.05] × max(0, NDWI) × 3",Sentinel-2 L2A,,0,NDVI|NDWI|NDCI,I|max,,component-comparison,"A single-scene Sentinel-2 composite can be compared at the component or ablation level, but is not itself a plain 2-4 band permutation."
ALSI,Active Layer Depth Thermal-Spectral Composite,Permafrost & Arctic,Permafrost & Peat Change,research-model,M1,Formula specified; not implemented in Atlas,,ECOSTRESS + Sentinel-2,,0,,,,not-applicable-no-implemented-formula,No implemented formula is recorded.
PDCSI,Pre-Deforestation Canopy Stress Index,Tropical Forest,Forest Canopy Condition,primary,M3,Live screening proxy,[(B06−B05)/(B06+B05)] − [(B8A−B08)/(B8A+B08)],Sentinel-2,B05|B06|B08|B8A,4,,,difference-of-contrasts:((B06 - B05) / (B06 + B05)) - ((B8A - B08) / (B8A + B08)),direct-six-family-match,The complete implemented expression exactly matches a bounded family.
LISI,Canopy NIR/SWIR Structural Contrast,Tropical Forest,Forest Canopy Condition,variant,M3,Live screening proxy,2.5 × [(B08−B11)/(B08+B11+6B04−7.5B02+1)] × (B08/B11),Sentinel-2,B08|B11,2,,,,direct-formula-outside-six-families,The expression is direct 2-4 band algebra but is not an exact member of the six bounded families.
UBCDI,Understory vs. Canopy Burn Discrimination Index,Tropical Forest,Fire Effects & Recovery,research-model,M2,Executable but non-live,,Sentinel-2 context; proof target pending,,0,,,,not-applicable-no-implemented-formula,No implemented formula is recorded.
FEDGI,Forest Edge Degradation Gradient Index,Tropical Forest,Forest Disturbance & Carbon,research-model,M2,Executable but non-live,,Sentinel-2 context; proof target pending,,0,,,,not-applicable-no-implemented-formula,No implemented formula is recorded.
SLSDI,Selective Logging Scar Detection Index,Tropical Forest,Forest Disturbance & Carbon,research-model,M2,Executable but non-live,,Sentinel-2 + Planet,,0,,,,not-applicable-no-implemented-formula,No implemented formula is recorded.
ETCSI,Emergent Tree Crown Stress Index,Tropical Forest,Forest Canopy Condition,research-model,M1,Formula specified; not implemented in Atlas,,Planet + Sentinel-2,,0,,,,not-applicable-no-implemented-formula,No implemented formula is recorded.
BSCMCI,Biological Soil Crust Multi-Condition Index,Dryland & Arid,Dryland Surface Processes,research-model,M1,Formula specified; not implemented in Atlas,,PRISMA / DESIS,,0,,,,not-applicable-no-implemented-formula,No implemented formula is recorded.
SBCI,Sabkha Brine Chemistry Index,Dryland & Arid,Dryland Surface Processes,research-model,M1,Formula specified; not implemented in Atlas,,EMIT,,0,,,,not-applicable-no-implemented-formula,No implemented formula is recorded.
CSCAI,Caliche Surface Carbonate Accumulation Index,Dryland & Arid,Dryland Surface Processes,research-model,M1,Formula specified; not implemented in Atlas,,EnMAP,,0,,,,not-applicable-no-implemented-formula,No implemented formula is recorded.
DEFPI,Dust Emission Flux Proxy Index,Dryland & Arid,Dryland Surface Processes,research-model,M1,Formula specified; not implemented in Atlas,,EMIT + S2 + SMAP,,0,,,,not-applicable-no-implemented-formula,No implemented formula is recorded.
DLPEHI,Sparse-Vegetation and Bare-Soil Dryland Context,Dryland & Arid,Dryland Surface Processes,component,M3,Live screening proxy,"I[0.05<NDVI<0.35] × I[−0.3<NDWI<0.1] × max(0, BSI + 0.1) × 5",Sentinel-2 L2A,,0,BSI|NDVI|NDWI,I|max,,component-comparison,"A single-scene Sentinel-2 composite can be compared at the component or ablation level, but is not itself a plain 2-4 band permutation."
AIBEAI,Arroyo Incision and Bank Erosion Activity Index,Dryland & Arid,Dryland Surface Processes,research-model,M2,Executable but non-live,,Sentinel-2 + Planet,,0,,,,not-applicable-no-implemented-formula,No implemented formula is recorded.
PWTDI,Peatland Water-Table Calibration Model,Wetland & Peatland,Wetland Hydrology,research-model,M2,Field calibration required,,Sentinel-1 GRD | Sentinel-2 L2A | water-table loggers | vegetation and seasonal covariates,,0,,,,not-applicable-no-implemented-formula,No implemented formula is recorded.
MHSSP,Open Anoxic-Surface Context Proxy,Wetland & Peatland,Wetland Gas Surface Context,component,M3,Live screening proxy,"max(0,NDWI) × max(0, 0.3−NDVI) × max(0, 0.1−(B05−B04)/(B05+B04)) × 20",Sentinel-2 L2A,B04|B05,2,NDVI|NDWI,max,,component-comparison,"A single-scene Sentinel-2 composite can be compared at the component or ablation level, but is not itself a plain 2-4 band permutation."
TFIDI,Single-Date Tidal-Zone Wetness Context,Wetland & Peatland,Wetland Hydrology,component,M3,Live screening proxy,"I[−0.1<NDWI<0.4] × I[B11<0.1] × max(0,NDWI+0.15) × 2",Sentinel-2 monthly,B11,1,NDWI,I|max,,component-comparison,"A single-scene Sentinel-2 composite can be compared at the component or ablation level, but is not itself a plain 2-4 band permutation."
WDPTZI,Peat Moisture Transition Proxy,Wetland & Peatland,Wetland Hydrology,component,M3,Live screening proxy,I[0.05<|(B11−B8A)/(B11+B8A)|<0.3] × |NDWI| × 3,Sentinel-2,B8A|B11,2,NDWI,I,,component-comparison,"A single-scene Sentinel-2 composite can be compared at the component or ablation level, but is not itself a plain 2-4 band permutation."
IPVSI,Dense-Canopy Red-Edge Ratio Context,Wetland & Peatland,Wetland Vegetation Structure,primary,M3,Live screening proxy,"I[NDVI>0.6 and NDRE>0.3] × max(0, NDRE/NDVI − 0.5) × 3",Sentinel-2 seasonal,,0,NDVI|NDRE,I|max,,component-comparison,"A single-scene Sentinel-2 composite can be compared at the component or ablation level, but is not itself a plain 2-4 band permutation."
WVTDI,Wetland Vegetation-Water Balance Context,Wetland & Peatland,Wetland Vegetation Structure,variant,M3,Live screening proxy,"I[NDWI>−0.2 and NDVI>0.2] × [0.6 × NDVI + 0.4 × max(0, NDWI + 0.2)]",Sentinel-2 time series,,0,NDVI|NDWI,I|max,,component-comparison,"A single-scene Sentinel-2 composite can be compared at the component or ablation level, but is not itself a plain 2-4 band permutation."
CMSTI,Clay-Mineral Absorption-Position Model,Hyperspectral-Enabled,Hyperspectral Materials,research-model,M1,Spectral fitting required,,EMIT,,0,,,,not-applicable-no-implemented-formula,No implemented formula is recorded.
MPSSFI,Methane Matched-Filter Research Specification,Hyperspectral-Enabled,Atmospheric Methane & Carbon,research-model,M1,Atmospheric retrieval required,,EMIT,,0,,,,not-applicable-no-implemented-formula,No implemented formula is recorded.
AFCDI,Asbestos Fiber Chrysotile Detection Index,Hyperspectral-Enabled,Hyperspectral Materials,research-model,M1,Formula specified; not implemented in Atlas,,EMIT + PRISMA,,0,,,,not-applicable-no-implemented-formula,No implemented formula is recorded.
SCFGOSI,Soil Carbon Functional Group Oxidation State Index,Hyperspectral-Enabled,Hyperspectral Materials,research-model,M1,Formula specified; not implemented in Atlas,,EMIT + EnMAP,,0,,,,not-applicable-no-implemented-formula,No implemented formula is recorded.
REENBI,REE Neodymium Band-Depth Feature,Hyperspectral-Enabled,Hyperspectral Materials,research-model,M1,Continuum-removal specification,,EnMAP,,0,,,,not-applicable-no-implemented-formula,No implemented formula is recorded.
EPCASE,EnMAP Porphyry Cu Alteration Sequence Index,Hyperspectral-Enabled,Hyperspectral Materials,research-model,M1,Formula specified; not implemented in Atlas,,EnMAP,,0,,,,not-applicable-no-implemented-formula,No implemented formula is recorded.
DPCCI,DESIS Phycocyanin Column Concentration Index,Hyperspectral-Enabled,Aquatic Blooms & Pigments,research-model,M1,Formula specified; not implemented in Atlas,,DESIS + PACE,,0,,,,not-applicable-no-implemented-formula,No implemented formula is recorded.
PFTIB,Phytoplankton Functional Type Index Battery,Hyperspectral-Enabled,Aquatic Blooms & Pigments,research-model,M1,Formula specified; not implemented in Atlas,,PACE OCI,,0,,,,not-applicable-no-implemented-formula,No implemented formula is recorded.
TSEAI,Methane Inventory Residual Research Model,Cross-Sensor Fusion,Atmospheric Methane & Carbon,research-model,M1,Transport inversion required,,S5P TROPOMI + S2,,0,,,,not-applicable-no-implemented-formula,No implemented formula is recorded.
ISSAI,ICESat-2 + Sentinel-1 Subsidence Attribution Index,Cross-Sensor Fusion,Cross-Sensor Decision Models,research-model,M1,Formula specified; not implemented in Atlas,,ICESat-2 + S1 + S2,,0,,,,not-applicable-no-implemented-formula,No implemented formula is recorded.
GEAWSI,GRACE-FO + ECOSTRESS Agricultural Water Stress Index,Cross-Sensor Fusion,Cross-Sensor Decision Models,research-model,M1,Formula specified; not implemented in Atlas,,GRACE-FO + ECOSTRESS,,0,,,,not-applicable-no-implemented-formula,No implemented formula is recorded.
EMSMMI,EMIT Mineral + Sentinel-1 Soil Moisture Index,Cross-Sensor Fusion,Cross-Sensor Decision Models,research-model,M1,Formula specified; not implemented in Atlas,,EMIT + S1,,0,,,,not-applicable-no-implemented-formula,No implemented formula is recorded.
NFCAI,NISAR-Optical Biomass Calibration Model,Cross-Sensor Fusion,Forest Disturbance & Carbon,research-model,M1,Field calibration required,,NISAR L-band products | Sentinel-2 canopy features | topography | biomass plots | allometry,,0,,,,not-applicable-no-implemented-formula,No implemented formula is recorded.
SNUVQI,NO₂ + Sentinel-2 Urban Vegetation Air Quality Index,Cross-Sensor Fusion,Cross-Sensor Decision Models,research-model,M1,Formula specified; not implemented in Atlas,,TROPOMI + S2 + ERA5,,0,,,,not-applicable-no-implemented-formula,No implemented formula is recorded.
PUENPI,Coastal Wetland Carbon-Budget Research Model,Cross-Sensor Fusion,Cross-Sensor Decision Models,research-model,M1,Carbon-budget model required,,PACE OCI + ECOSTRESS,,0,,,,not-applicable-no-implemented-formula,No implemented formula is recorded.
