"record_id","record_name","domain_id","domain_label","capability_id","capability_label","method_role","contribution_class","contribution_status","maturity","formula_version","interactive_state","can_render","formula_status","proposed_formula","implemented_formula","required_inputs","temporal_operator","spatial_operator","units","physical_rationale","intended_use_and_inference_limit","calibration_status","validation_status","event_evidence_status","source_name","source_url","bookmark_label","bookmark_latitude","bookmark_longitude","bookmark_zoom","bookmark_window_end_date","bookmark_date_role","acquisition_timestamp","acquisition_cloud_cover","display_qc_verdict","display_visible_percent","display_high_signal_percent","display_p99_luma","display_qc_generated","display_qc_interpretation_limit","audit_date","source_commit"
"DWCI","Drinking Water Catchment Injury Index","waterquality","Water Quality & Freshwater","water-condition-plumes","Water Condition & Plumes","research-model","C1","Provisional; entry-level prior-art review pending","M2","2.0","Non-live executable formula","false","Executable but non-live","turbidity_anomaly × upstream_flow_weight × persistence","","Sentinel-2 context; proof target pending","Declared workflow; not implemented in Atlas","Declared workflow; not implemented in Atlas","Uncalibrated dimensionless screening score","Turbidity in upstream catchment zones propagates to water treatment intake points; early detection at source reduces treatment cost and protects public supply.","Early warning for water treatment facilities — detects turbidity events before they reach intakes.","Uncalibrated","Not independently evaluated (below V1)","Context location only","California Water Boards Camp Fire Report (2018)","https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/CampFire.html","Sacramento-San Joaquin Delta CA","37.87","-121.63","11","2021-04-15","End of the Atlas WMS search window; not an acquisition timestamp","","","","","","","","Not applicable because the proposed workflow is not rendered","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
"RRFI","Riparian Dry-Bare Context Composite","waterquality","Water Quality & Freshwater","riparian-flood","Riparian & Floodplain Condition","variant","C1","Provisional; entry-level prior-art review pending","M3","2.0","Live catalog visualization","true","Live screening proxy","ΔNDVI_riparian × ΔNDWI_channel × ΔBSI_bank with mapped riparian and channel zones","max(0, 0.3−NDVI) × max(0, −NDWI) × max(0, BSI) × 40","Sentinel-2","Single-scene","Per-pixel","Uncalibrated dimensionless screening score","The live layer is a single-scene dry, sparsely vegetated, bare-surface feature. It does not measure riparian loss or channel decline without a baseline and spatial masks.","Surfaces candidate dry/bare riparian context for time-series analysis.","Uncalibrated","Not independently evaluated (below V1)","Reviewed event context; not performance evidence","USGS Upper Rio Grande streamflow and climate response study","https://pubs.usgs.gov/publication/sir20215138","Rio Grande riparian corridor NM","35.69","-105.95","11","2021-05-18","End of the Atlas WMS search window; not an acquisition timestamp","","","strong","63.152","2.183","0.4354","2026-07-21T17:54:06","Automated overlay visibility only; not accuracy, validation, target attribution, or acquisition-time confirmation","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
"EPDI","Bare-Surface and Water-Turbidity Context","waterquality","Water Quality & Freshwater","water-condition-plumes","Water Condition & Plumes","primary","C1","Provisional; entry-level prior-art review pending","M3","2.0","Live catalog visualization","true","Live screening proxy","ΔBSI_upslope × TurbidityAnomaly_downstream × Persistence with flow-network linkage","0.5 × BareSurfaceHeuristic + 3 × TurbidityContrast × WaterGate","Sentinel-2","Single-scene","Per-pixel","Uncalibrated dimensionless screening score","The live formula adds same-pixel bare-surface and water-turbidity features. It does not compute upslope/downstream linkage, change, or persistence.","Context layer for designing an erosion-delivery time-series study.","Uncalibrated","Not independently evaluated (below V1)","Reviewed event context; not performance evidence","California DWR Pajaro River levee break response (2023)","https://water.ca.gov/News/Blog/2023/Mar-23/DWR-Supports-Flood-Fight-Efforts-at-Pajaro-River-Levee-Break","Pajaro River CA — levee-breach sediment pulse","36.9","-121.75","11","2023-03-17","End of the Atlas WMS search window; not an acquisition timestamp","2023-03-15T18:51:39.024Z","6.90%","strong","4.683","3.016","0.7116","2026-07-21T17:54:06","Automated overlay visibility only; not accuracy, validation, target attribution, or acquisition-time confirmation","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
"RDOCI","CDOM Spectral-Slope Research Specification","waterquality","Water Quality & Freshwater","water-condition-plumes","Water Condition & Plumes","research-model","C1","Provisional; entry-level prior-art review pending","M1","2.0","Specified concept or retired formula","false","Retrieval workflow required","DOC_estimate = f[aCDOM, spectral slope, optical water type] calibrated to field DOC","","PACE OCI water-leaving reflectance | atmospheric correction | in-water absorption | field DOC/CDOM","Declared workflow; not implemented in Atlas","Declared workflow; not implemented in Atlas","Spectral slope: inverse wavelength; DOC units depend on calibration","CDOM spectral slope is defined from absorption after atmospheric and aquatic retrieval, not directly from raw 320/412 nm reflectance. DOC inference requires field calibration and water-type controls.","Specifies the measurements needed to test a PACE-enabled DOC/CDOM relationship.","Uncalibrated","Not independently evaluated (below V1)","Context location only","","","Amazon River plume — DOC export","-0.5","-49.5","9","2021-03-15","End of the Atlas WMS search window; not an acquisition timestamp","","","","","","","","Not applicable because the proposed workflow is not rendered","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
"CTPSTI","Phytoplankton Pigment Contrast Feature","waterquality","Water Quality & Freshwater","aquatic-blooms","Aquatic Blooms & Pigments","component","C1","Provisional; entry-level prior-art review pending","M1","2.0","Specified concept or retired formula","false","Formula specified; not implemented in Atlas","[ρ(560nm) − ρ(620nm)] / [ρ(560nm) + ρ(620nm)]","","PACE / DESIS","Declared workflow; not implemented in Atlas","Declared workflow; not implemented in Atlas","Uncalibrated dimensionless screening score","The contrast may respond to pigment composition after aquatic atmospheric correction. It cannot determine species, toxin genes, or toxin concentration.","Candidate pigment-balance feature for studies with taxonomy and toxin assays.","Uncalibrated","Not independently evaluated (below V1)","Context location only","","","Lake Winnipeg — blue-green bloom","50.18","-98","10","2021-08-15","End of the Atlas WMS search window; not an acquisition timestamp","","","","","","","","Not applicable because the proposed workflow is not rendered","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
"DTPSI","Dam Thermal Plume Stratification Index","waterquality","Water Quality & Freshwater","water-condition-plumes","Water Condition & Plumes","research-model","C1","Provisional; entry-level prior-art review pending","M1","2.0","Specified concept or retired formula","false","Formula specified; not implemented in Atlas","(LST_downstream_1km − LST_reservoir) / (LST_upstream − LST_reservoir)","","Landsat TIRS","Declared workflow; not implemented in Atlas","Declared workflow; not implemented in Atlas","Uncalibrated dimensionless screening score","<0 = cold hypolimnetic release; >0 = warm surface release. Thermal stratification controls dissolved oxygen and fish habitat quality downstream.","Dam operations optimization for cold-water fisheries and downstream aquatic habitat.","Uncalibrated","Not independently evaluated (below V1)","Context location only","","","Lake Powell — thermal stratification","37.07","-111.31","11","2021-07-15","End of the Atlas WMS search window; not an acquisition timestamp","","","","","","","","Not applicable because the proposed workflow is not rendered","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
"GMCPI","Glacial Meltwater Chemistry Proxy Index","waterquality","Water Quality & Freshwater","water-condition-plumes","Water Condition & Plumes","research-model","C1","Provisional; entry-level prior-art review pending","M2","2.0","Non-live executable formula","false","Executable but non-live","CDOM ratio × turbidity proxy in glacier outflow plumes","","Sentinel-2 + PACE","Declared workflow; not implemented in Atlas","Declared workflow; not implemented in Atlas","Uncalibrated dimensionless screening score","Meltwater carries distinct glacial flour turbidity (B04/B03 ratio) and low CDOM (high B03/B04 vs. downstream). Combines visible turbidity with spectral signature of rock flour.","Tracks glacial meltwater contribution to freshwater chemistry — crucial for downstream communities.","Uncalibrated","Not independently evaluated (below V1)","Context location only","USGS / NPS Glacier Monitoring Program","https://www.nps.gov/kefj/index.htm","Kenai Fjords AK — glacial outflow","60.47","-149.83","11","2021-08-01","End of the Atlas WMS search window; not an acquisition timestamp","","","","","","","","Not applicable because the proposed workflow is not rendered","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
"FCLI","Floodplain SWIR-Vegetation Context","waterquality","Water Quality & Freshwater","riparian-flood","Riparian & Floodplain Condition","primary","C1","Provisional; entry-level prior-art review pending","M3","2.0","Live catalog visualization","true","Live screening proxy","SWIR2 anomaly after inundation × next-season vegetation suppression","max(0, B12−0.18) × max(0, 0.4−NDVI) × 8","Sentinel-2","Single-scene","Per-pixel","Uncalibrated dimensionless screening score","The live layer is a single-scene SWIR2 and low-vegetation feature. It does not compute an anomaly, flood history, contamination, or next-season response.","Identifies candidate floodplain surface context for a longitudinal contamination study.","Uncalibrated","Not independently evaluated (below V1)","Reviewed event context; not performance evidence","EPA Harvey Response / USGS Sediment Studies","https://www.epa.gov/archive/epa/newsreleases/status-water-systems-areas-affected-harvey.html","Houston Addicks Reservoir TX — post-Harvey","29.77","-95.64","12","2018-10-15","End of the Atlas WMS search window; not an acquisition timestamp","","","strong","29.148","22.715","0.7165","2026-07-21T17:54:06","Automated overlay visibility only; not accuracy, validation, target attribution, or acquisition-time confirmation","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
"HABSDI","HAB Species-Level Discrimination Index","marine","Marine & Coastal","aquatic-blooms","Aquatic Blooms & Pigments","research-model","C1","Provisional; entry-level prior-art review pending","M1","2.0","Specified concept or retired formula","false","Formula specified; not implemented in Atlas","PC_index − FX_index (cyano) | FX_index − PC_index (diatom)","","PACE / DESIS","Declared workflow; not implemented in Atlas","Declared workflow; not implemented in Atlas","Uncalibrated dimensionless screening score","Cyanobacteria → phycocyanin (620 nm). Diatoms → fucoxanthin (510–540 nm). PACE OCI 5 nm bands resolve both pigment packages simultaneously.","Transforms HAB monitoring from presence/absence to toxin-risk species assessment.","Uncalibrated","Not independently evaluated (below V1)","Context location only","","","Chesapeake Bay — HAB context","38.3","-76.4","10","2021-07-15","End of the Atlas WMS search window; not an acquisition timestamp","","","","","","","","Not applicable because the proposed workflow is not rendered","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
"SMPDI","Floating-Material Spectral Contrast","marine","Marine & Coastal","floating-material","Floating & Surface Material","primary","C1","Provisional; entry-level prior-art review pending","M3","2.0","Live catalog visualization","true","Live screening proxy","Polymer-versus-biomass discrimination using imaging spectroscopy (e.g. EMIT) with labeled floating-material references","WaterGate × LandReject × [FAI_B12baseline − ((B8A−B11)/(B8A+B11))]","Sentinel-2 L2A","Single-scene","Per-pixel","Uncalibrated dimensionless screening score","The live feature combines a floating-algae-style baseline residual with NIR/SWIR contrast and water/land gates. The baseline is interpolated B04→B12 rather than the B04→B11 pairing used in common Sentinel-2 FAI implementations, so it is an FAI variant and not the canonical index. Sargassum-versus-plastic discrimination has not been independently evaluated, and the live layer uses no EMIT data.","Candidate feature for labeled floating-material classification against established FDI baselines (Biermann et al., 2020).","Uncalibrated","Not independently evaluated (below V1)","Reviewed event context; not performance evidence","USF Sargassum Watch System Caribbean bulletins","https://optics.marine.usf.edu/projects/saws.html","Caribbean — water-gated Sargassum belt","18","-65","12","2022-07-02","End of the Atlas WMS search window; not an acquisition timestamp","","","strong","3.602","2.396","0.7955","2026-07-21T17:54:06","Automated overlay visibility only; not accuracy, validation, target attribution, or acquisition-time confirmation","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
"CBSDI","Coral Brightness Context Proxy","marine","Marine & Coastal","coastal-habitats","Coastal Habitat Condition","primary","C1","Provisional; entry-level prior-art review pending","M3","2.0","Live catalog visualization","true","Live screening proxy","Multi-date, depth-corrected benthic change model with field coral-condition labels","I[(B03−B04)/(B03+B04) < 0.05 and B02 > 0.06] × (0.5 + 3B02)","Sentinel-2 + PRISMA","Single-scene","Per-pixel","Uncalibrated dimensionless screening score","The live code implements one brightness/green-red condition only. It does not implement the advertised three stages or determine bleaching, mortality, or algal colonization.","Single-scene shallow-water brightness context for selecting field-reviewed change targets.","Uncalibrated","Not independently evaluated (below V1)","Reviewed event context; not performance evidence","Mongabay report on the 2020 Great Barrier Reef bleaching event","https://news.mongabay.com/2020/04/great-barrier-reef-suffers-biggest-bleaching-event-yet/","Great Barrier Reef — bleaching event","-18.29","147.7","11","2020-03-15","End of the Atlas WMS search window; not an acquisition timestamp","","","strong","100","3.112","0.685","2026-07-21T17:54:06","Automated overlay visibility only; not accuracy, validation, target attribution, or acquisition-time confirmation","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
"KCDSI","Floating or Shallow-Water Vegetation Context","marine","Marine & Coastal","floating-material","Floating & Surface Material","variant","C2","Provisional; entry-level prior-art review pending","M3","2.0","Live catalog visualization","true","Live screening proxy","Depth-corrected multi-date kelp-canopy condition model","max(0, NDVI) × I[B11<0.04 and B03<0.16]","Sentinel-2 + S3","Single-scene","Per-pixel","Uncalibrated dimensionless screening score","The live layer displays positive NDVI under a simple low-SWIR water-context gate. It does not correct bathymetry or measure kelp stress.","Candidate floating/shallow vegetation context for labeled kelp mapping.","Uncalibrated","Not independently evaluated (below V1)","Reviewed event context; not performance evidence","Monterey Bay National Marine Sanctuary Kelp Studies","https://montereybay.noaa.gov/","Monterey Bay CA — kelp canopy","36.89","-121.87","10","2021-12-30","End of the Atlas WMS search window; not an acquisition timestamp","","","strong","5.413","4.96","0.7955","2026-07-21T17:54:06","Automated overlay visibility only; not accuracy, validation, target attribution, or acquisition-time confirmation","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
"OWSI","Oil-Related Surface Contrast Proxy","marine","Marine & Coastal","floating-material","Floating & Surface Material","variant","C2","Provisional; entry-level prior-art review pending","M3","2.0","Live catalog visualization","true","Live screening proxy","Weathering-stage classification from imaging spectroscopy (e.g. EMIT) with sampled oil-age references","max(0, (B02−B12)/(B02+B12)) × max(0, B11/B12 − 0.8) × 2","Sentinel-2 L2A","Single-scene","Per-pixel","Uncalibrated dimensionless screening score","The live layer is a blue/SWIR2 contrast scaled by a SWIR1:SWIR2 ratio. ""NDOI"" is a legacy broad-band contrast name, not a hydrocarbon retrieval, and the ratio term is not a calibrated weathering clock. The live layer uses no EMIT data.","Surface-contrast context over water for selecting oil-incident scenes for review; it does not establish oil presence, thickness, or age.","Uncalibrated","Not independently evaluated (below V1)","Reviewed event context; not performance evidence","NOAA Deepwater Horizon oil spill case study","https://response.restoration.noaa.gov/deepwater-horizon-oil-spill-case-study","Gulf of Mexico — oil slick weathering context","28.7","-88.4","11","2016-05-15","End of the Atlas WMS search window; not an acquisition timestamp","","","strong","99.923","96.478","0.7193","2026-07-21T17:54:06","Automated overlay visibility only; not accuracy, validation, target attribution, or acquisition-time confirmation","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
"MDSPI","Mangrove Dieback Spatial Pattern Index","marine","Marine & Coastal","coastal-habitats","Coastal Habitat Condition","research-model","C1","Provisional; entry-level prior-art review pending","M2","2.0","Non-live executable formula","false","Executable but non-live","NDVI_loss in mangrove zone × BSI_increase","","Sentinel-2 + S1; proof target pending","Declared workflow; not implemented in Atlas","Declared workflow; not implemented in Atlas","Uncalibrated dimensionless screening score","Mangrove dieback creates characteristic spatial NDVI loss patterns (canopy collapse) combined with exposed substrate (elevated BSI) — distinguishing it from seasonal leaf drop.","Alerts coastal managers to accelerating mangrove dieback — protecting storm surge buffers.","Uncalibrated","Not independently evaluated (below V1)","Context location only","Sundarbans Forestry Department / UNESCO","https://whc.unesco.org/en/list/798/","Sundarbans — mangrove dieback monitoring","21.98","89.18","11","2021-12-01","End of the Atlas WMS search window; not an acquisition timestamp","","","","","","","","Not applicable because the proposed workflow is not rendered","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
"SGDCI","Submarine Groundwater Discharge Chemistry Index","marine","Marine & Coastal","water-condition-plumes","Water Condition & Plumes","research-model","C1","Provisional; entry-level prior-art review pending","M1","2.0","Specified concept or retired formula","false","Formula specified; not implemented in Atlas","(ρ_412 / ρ_550) − CDOM_regional_mean within thermal anomaly mask","","PACE + ECOSTRESS","Declared workflow; not implemented in Atlas","Declared workflow; not implemented in Atlas","Uncalibrated dimensionless screening score","SGD creates localized CDOM-depleted (low UV/blue absorption) zones combined with thermal anomalies at seafloor seep points. Requires PACE UV channels.","Maps submarine freshwater discharge — a cryptic but critical coastal nutrient source.","Uncalibrated","Not independently evaluated (below V1)","Context location only","","","Yucatan coast — SGD context","21","-87.5","10","2021-08-01","End of the Atlas WMS search window; not an acquisition timestamp","","","","","","","","Not applicable because the proposed workflow is not rendered","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
